,0,1,2,3,4,5,6,7
919,ODC1,PSMF1,SGTA,GSTT1,TIPRL,SLC25A38,MAN1B1,SUSD1
920,FAM104A,EIF3K,NLRP1,CTSH,RNF166,GIT2,RP11-1143G9.4,AP3D1
921,SLC38A10,SCAF4,YME1L1,AK2,DDX56,PIGT,ACOX2,ZYX
922,AGO3,TERF2IP,PYURF,BLOC1S1,RAB5A,PRSS57,ARHGAP27,RNF44
923,ATP5EP2,POP4,PFDN1,ZFAND2B,RNF144B,SAP18,PI4KB,CMTM6
924,ZNF451,SIL1,PAPOLA,WASL,MAST3,AP3D1,UBXN6,DCTPP1
925,RP11-143J12.2,ISCA2,GTPBP8,RP11-500C11.3,PSMC2,L3MBTL2,RNMTL1,SSSCA1
926,SAMHD1,TRIM8,METTL4,NDUFAF4,OSER1-AS1,BEST1,RHOT2,RP11-514O12.4
927,BPGM,OSM,MTMR4,ANXA2R,DYRK1A,IRAK1,HNRNPD,STMN1
928,EVL,CYB5R4,TMEM30B,SNX9,RP11-22N19.2,ANAPC5,WBP4,LEPRE1
929,USE1,FOXN3,ARHGAP5-AS1,CCDC53,GGNBP2,DAZAP1,DAPP1,PLA2G4C
930,TESPA1,LILRA6,NDUFC1,WNK1,IDO1,MMS19,AGFG2,HDDC3
931,FHL1,RNF7,FAM126A,NUFIP1,UQCRQ,CCDC97,YWHAH,SF3A3
932,PSMD1,TLN1,SMNDC1,KATNBL1,GLOD4,CXXC1,FAM118A,PHYKPL
933,NARS,MUT,PDIA4,MID1IP1,CERK,SBK1,AMPD2,HPCAL1
934,RP5-1180E21.5,CTBP2,RP11-102N12.3,GAK,MKNK1,CDK2AP2,XAB2,SLA2
935,PARP9,H2AFY,JUND,SLC22A18,NTMT1,GBF1,NCBP2-AS2,RPGR
936,MACF1,TGFBI,UPRT,TPGS2,HGS,THRAP3,UBAP2,ZNF24
937,POU2F1,ZFYVE19,VHL,MRPL51,DECR1,ROMO1,PADI4,ERH
938,SUMF2,NAGPA,POLDIP2,MT1E,SNRNP27,ZMAT3,MAPKAPK5,TPP2
939,FBXO28,CORO1C,ACBD4,ZMPSTE24,RRAS,KIF5B,ORAI1,TMEM60
940,PGP,TOE1,DZIP3,SKAP1,CCDC12,RSBN1L,PXMP2,APOL3
941,ARHGEF1,KIAA0368,MED17,NANS,NSRP1,DNAJB11,GART,ZNF106
942,MRPL17,MT-ATP6,LAMTOR4,GABPB1,FAM53B,NUB1,CTPS2,PLP2
943,PAPD4,CARD16,MESDC1,HTATIP2,CALML4,ARHGAP9,IPO9,ITGB1
944,ZC3H14,GMPR2,SHPRH,TOR2A,BIRC2,ASXL1,POLDIP2,ZNF217
945,SLC46A3,RPP38,PTCD3,RP11-545E17.3,NECAP2,BFAR,FNBP1,CLINT1
946,RPL12,CHCHD4,MFSD12,HYI,SIVA1,APBA2,DHX29,LGALS12
947,NR1H2,SNRNP70,LIPT1,ADAM8,MTDH,CREM,SCAF11,SLC38A10
948,C1RL-AS1,C17orf59,ZNF277,C6orf211,RRP9,FBXL3,EMC10,NCL
949,TXNDC11,AGGF1,PAAF1,ATP5J,VPS53,SNRNP25,ZNF398,HLA-B
950,BNIP1,SLK,RP11-108M9.4,CTC-444N24.11,OBFC1,SRP19,POLG,LIPA
951,ESYT1,CDC42EP1,SMIM4,TMEM41B,PPM1N,MRPS34,PTGDS,TUBB2A
952,HMGB2,DPYD,C6orf47,N4BP2L2,C11orf48,NMD3,C4orf27,FBF1
953,GFPT1,WAC,ZNF90,GLTSCR1L,CASP1,SP3,KDM5D,DCTN2
954,SP3,GAK,SH3GL1,NUDT21,PSMA7,NSUN2,TMEM259,ERBB2IP
955,CCDC59,FAM172A,SLC25A6,DHX16,ATP1A1,ATP6V0D1,MRPL9,VMA21
956,RBMX,EVI5,CAMTA1,FAM175B,CHMP3,SAMD9L,RCC2,SPSB1
957,LMO4,NLRP12,ZNF91,CCBL2,NBN,EIF3J,MGST2,LSR
958,EAPP,FNDC3B,NUP107,SNX11,DCAF13,NDUFA2,SEC22C,HDAC5
959,ACOT7,DEXI,STX6,UEVLD,ZNF621,NDUFA7-1,COX7C,MYO1G
960,VPS45,SRSF3,DNAJB9,AGPAT4,IPO8,PITPNB,SATB1,NUDT3
961,TCTEX1D2,ARL11,KAT8,ATG13,MYLIP,ACLY,FASTK,POP7
962,NDUFS3,CASC3,DYNC1LI2,LRR1,ACSL1,MRPL50,GANAB,MCTS1
963,SRSF1,IMMP2L,IFIT3,MMGT1,HINFP,GNG2,MBOAT7,G6PD
964,TTF2,RPL18,ELOF1,FBXO4,EMC3,PPP1R3E,ETV3,DPCD
965,FAM35A,PTPN12,FAM53C,TRIAP1,SBNO2,INPP4B,HRH2,TDRP
966,COA6,SLC12A7,NECAP1,CLIP1,HNRNPL,NUDT5,SCAF1,KIFC3
967,API5,FAM122A,UGT2B17,GLS,CMTM3,SRSF1,RARS,XRCC6
968,LYRM4,IRGQ,CTDP1,NUDT18,ERLIN1,C14orf159,RSRC1,MSANTD3
969,SETD5,TTF1,SCAF11,MAPK3,ZBTB40,CCDC174,CBX7,ZMAT2
970,WDR5,ARF1,C19orf25,CCR6,CRIP1,NAP1L5,H2AFZ,GPR108
971,SRSF7,IGFBP7,SNAPC4,PSMC1,EMR2,NFKB2,ABHD12,CPT1A
972,SNAPC5,RP11-395A13.2,RIPK3,TIMM9,DDA1,CCDC127,P2RY13,EFNB1
973,MDFIC,RRP7A,C17orf70,CASC4,RSRC2,GAPDH,ZNF581,UQCC2
974,MAPKAPK3,MEF2C,MOB3A,AC003075.4,SYTL1,SLC27A3,COA4,M6PR
975,TOR3A,IKBKE,EBAG9,AKAP17A,DDX3Y,TBRG1,IL3RA,SAV1
976,POP7,CDADC1,ADD3,ATP6V1A,RNF139,PPP1R10,TET2,CTNS
977,CETN2,HDAC5,TINF2,PELI1,KCTD13,RNF2,ENDOG,CCDC88C
978,DPH7,TM9SF4,RAB30-AS1,RP11-222K16.2,TMED7,SBNO1,SSBP1,WDR74
979,RPS7,SMIM13,ZYG11B,RASAL3,RHBDD2,FAM111A,BTK,LRRC8B
980,MRPL22,ZNF544,ATP5D,AC007228.9,UNC93B1,SRP9,CCDC66,DOK1
981,EMC6,TCN2,AC006129.4,DGCR14,MOV10,H2AFV,AP3D1,PIK3CG
982,ZNF236,SSR2,COBLL1,EXOSC8,SMEK2,RP3-477O4.14,POLR2E,MRPL51
983,LRRC41,ZNF800,ANKRD27,GIMAP7,FAM127B,TSPYL1,HBEGF,G3BP1
984,FLII,RYBP,CDK4,KIDINS220,MPHOSPH10,SYT11,ZCCHC10,NDUFA12
985,TRIM33,RBM7,DNAJC10,HIST1H1C,RABGAP1L,RBM10,EHD4,LINC01011
986,OSBPL7,PIH1D1,IDI1,PSMC2,PRKCD,ALDOA,CCNC,TOLLIP
987,EXOC4,MAP1LC3B2,ZNF75A,NEK7,RAN,LSM10,METAP2,RNF141
988,FUNDC1,STK38,FUBP1,MRPL34,GNB1L,TSPAN32,CALR,KCTD10
989,NARF,MARK3,LIMD1,PPP1R37,KLHDC2,MRPL39,CCNL1,MAPKAPK5-AS1
990,HSP90AB1,NKAP,TMEM138,FBRS,MTRR,LCP2,MAP3K5,UQCRC1
991,RBMS1,HDAC4,RPL10,IFT27,GAA,AKAP13,UBN1,COA4
992,HMOX1,PAXIP1-AS1,TXNDC5,TSTD1,N4BP2L1,SMARCB1,RGCC,PSRC1
993,NFKBIZ,RP1-241P17.4,TMUB2,CBR4,POLE,C20orf112,TRIAP1,SMDT1
994,PWWP2B,LINC00909,IRF4,RHOF,ATR,PTGDS,TTC19,PLEKHO1
995,ACAP1,MFSD1,SEL1L3,P2RY10,GSTA4,FNBP4,PLCD1,ZNF185
996,COMMD6,ALDH1A1,STPG1,TERF2,MAFG,PYGB,RBMS1,AL592183.1
997,PDIA4,YARS,NFKBIA,SUMO3,REEP4,SLTM,HIGD2A,APOPT1
998,RHOH,FAM207A,CERS4,PNP,AKT1,TMEM126B,PPT1,ATP5S
999,C11orf73,TUBGCP3,GSAP,CCDC101,ATG4C,CBFB,GOLT1B,NIPBL
1000,TBC1D23,CALR,HSD17B12,TMEM71,TBCA,PIN1,RP11-84C10.2,AURKAIP1
1001,TNFAIP8L2,SLC25A33,TUBG1,C19orf52,INPP4A,EXOSC4,EEA1,CHIC2
1002,MORC2,ICMT,ANKRD32,ERN1,C4orf27,ANKRD11,FXYD5,LGALS8
1003,ANKRD44,RGL2,ST8SIA4,C4orf48,QRICH1,TBCA,NPC1,PHPT1
1004,TPR,GTPBP8,GADD45G,RAB14,BTBD9,TNFAIP3,GTF2F2,GNA15
1005,FEM1B,FAF1,DAXX,SNAP47,RAB11A,SLC25A33,TBCA,SORD
1006,SNORA76,GAS7,DNAJC4,POLR3K,INTS9,MTG2,PHB2,YWHAZ
1007,ATP5O,RBM8A,CNFN,EIF3B,LAMTOR2,YPEL1,MICAL1,SMYD3
1008,YWHAQ,OXLD1,ATP5G2,PDCD7,PARP4,PSTPIP1,AIMP2,COMMD1
1009,EMG1,CITED2,PPP5C,JOSD1,CLINT1,MED19,GABARAPL2,COX6A1
1010,TAF10,ESF1,DHRS1,TM7SF3,BIRC6,CIRBP,WSB2,TMA7
1011,TRUB2,NFIC,PPP6R2,ZNF75A,DDX59,ELOVL5,UBE3C,ARCN1
1012,CCAR1,ZNHIT1,DIDO1,SUZ12,EIF2A,PHF11,TUBB6,METTL9
1013,STK32C,NAT9,MTHFR,DCTN5,TOMM20,CARD8,FAM208A,TOR4A
1014,FAM134C,RERE,ZBTB1,DEK,CWC22,KLHL28,PRR11,MAP4K5
1015,UBA2,MALSU1,PGBD2,CYTH4,DDX41,IER3,SELO,RPS6KB2
1016,MT1X,TMUB1,DECR1,DCTN1,HYOU1,ERCC3,SLIRP,TAP1
1017,EIF4EBP2,PLXDC2,PPIF,SAT2,PCK2,GGPS1,OLA1,CD47
1018,C2orf69,HSD17B12,OAS1,ZNF330,KANSL1-AS1,ZNF655,UBE2D2,TSPAN5
1019,GCFC2,AGO1,VASP,CHIC2,METTL23,DIP2A,NDUFA11,MRPS21
1020,RAB24,AARS2,SYT17,PSMD2,SUCLG2,IAH1,YTHDF3,CDK5RAP2
1021,C12orf45,TMEM167B,PAK1IP1,CERS2,ARPC5,PSMG4,PRPF19,TLK1
1022,ZNF683,SLC35B4,GPBP1L1,RPL3,TAF7,APOL6,PSMB8,XPO7
1023,ST3GAL2,SEC63,ATG5,GPATCH3,C9orf72,SF3B3,CD99,DSE
1024,FH,SLC39A3,EIF3D,GLMN,PET100,TSN,INTS10,RP11-349A22.5
1025,FNTA,RP11-87C12.2,NAGPA,CALM2,NFATC2IP,C19orf25,TRAPPC5,MAP4K2
1026,USP22,PACS2,SPOCK2,ZC3H7B,RTN4,SEC14L1,YWHAZ,POLR2E
1027,CCDC107,C11orf73,RPL30,SNAPC2,BAG5,SAAL1,KDM2B,CHD9
1028,SPATA5L1,RP4-728D4.2,MCFD2,FAM192A,NFAT5,GHDC,VAC14,LY6G5C
1029,USP42,FAM160A2,STAP1,SYF2,STARD7,DALRD3,SOGA1,C17orf49
1030,PRPF38B,PIK3CD,BPTF,DYNC1LI1,UQCRH,MAU2,KLHL22,CXCL16
1031,PSMD9,NUDCD2,AC027763.2,HYLS1,ATOX1,AUH,SEZ6L,SNAP29
1032,RNF126,RHOT2,JOSD1,ABCC5,CSK,MARCKSL1,CAMK2G,SERPINA1
1033,PPCDC,EIF1,MRPL47,TOMM40,USP1,AURKAIP1,SH3KBP1,LEF1
1034,B4GALT4,ZNF814,PCBP1-AS1,PRKDC,MED11,SLC25A39,PER1,SPTSSA
1035,RPUSD2,OTUD4,TCF12,TIMM17A,SERPING1,AUP1,HSP90B1,DYNLRB1
1036,ZNF350,PDE4A,P2RX5-TAX1BP3,BLOC1S6,PLEKHO2,PPP2R2D,DAP3,HIPK2
1037,VAPA,FTSJ2,GALNT10,FLNA,C16orf93,VOPP1,CUL3,DRAM1
1038,PTCD3,PCMTD1,DNAAF2,LMBRD1,CYB561,TAP2-1,SDHB,CACTIN
1039,FLAD1,TRMT112,HRASLS2,XPO4,TCF25,EMC2,LEMD2,SYTL4
1040,ATP5L2,DRG2,PTK2B,RNPEPL1,FAM122C,TYK2,MRPL49,TCEB1
1041,ANO9,RRP8,CLN6,SH2D3A,ASRGL1,ALG13,GADD45GIP1,EIF3A
1042,FGD3,SNRNP25,RNPS1,AP3B1,CHST13,TMEM18,DNAJC1,SMCHD1
1043,BTAF1,UBLCP1,MARCH3,ZCRB1,AIMP1,ATP13A1,AHR,PEBP1
1044,ALS2,AGPS,ATF2,MED29,VASP,RP11-139H15.1,WHAMM,SDHA
1045,REEP4,TMEM242,TSC2,ARL6IP6,MAGOH,SPG20,MCRS1,TOR2A
1046,VDAC1,GNL1,ITGAE,MOGS,RNF126,VMA21,DPP9,SF3B2
1047,ZNF528,TK2,MED19,UTRN,MADD,EOMES,USP39,RNF113A
1048,MCM7,BRK1,APOO,RALY,PA2G4,TRAPPC10,CINP,GDI1
1049,AK5,TWISTNB,ARL8B,FBXO8,CDC123,CHMP7,MSRB2,KLHL6
1050,PSME4,HEXB,SC5D,IFNGR1,MTPN,C6orf48,COX7A2L,NRBF2
1051,RAD23B,PML,STT3B,SMC1A,DUSP5,LRRC58,BAZ1B,POP5
1052,METTL25,C4orf32,WDR34,VDAC2,MAP2K2,IFI6,RP11-169D4.2,PPIE
1053,TBCB,FAM24B,HIST1H2BK,U2AF2,NAP1L6,PSMG3,ENDOV,PTEN
1054,TNK2,SERPINB9,MFSD1,RUNX2,LIMK1,GSS,RMDN1,MZT2A
1055,ARMC1,PPP3CA,AFF4,RLTPR,EML4,NR4A2,WDR74,HCAR3
1056,ASB16-AS1,MED9,RPS6KB2,STK40,MIS12,CNOT2,FN3KRP,PSMD8
1057,LUC7L3,UIMC1,VCPKMT,PDCD5,PPM1G,TOR1AIP2,PPP6R2,DGUOK
1058,CLSTN3,PNP,KLK1,TOMM5,ATP2B1,C1orf174,NDRG1,RAB33A
1059,NPDC1,ABT1,NFKBID,SLC39A6,QTRTD1,TMEM117,KIF5B,CRKL
1060,INO80C,ABCD3,CDK2AP2,TXNRD1,KDM5A,RAB33A,CUL4B,EGLN2
1061,TXNDC9,CARD9,TSTD1,RNMTL1,UBL3,CD160,GINM1,UXS1
1062,DNAJA3,ROGDI,C19orf48,ARL6IP5,WDR13,UBASH3B,SMC3,SPHK1
1063,PTAR1,YTHDF2,FLOT1,RNF185,RP11-254F7.2,CCDC47,FXN,SEPW1
1064,FIG4,RANGRF,COPRS,PARP15,CORO1B,INSIG2,EIF4E,HNRNPUL1
1065,CTDSPL2,IQCB1,UCP2,NFKBIL1,EEFSEC,BCKDHB,COPS8,NOL8
1066,MXI1,NOP56,RNF115,GCLC,CHD4,SRP68,ENO1,METAP2
1067,MARCH6,SIRT7,RNF4,MAD1L1,MRPS18B,MRPL17,STAT6,RENBP
1068,ZNF414,RSBN1,SRBD1,DHRS3,RP1-102H19.8,TRMT112,PIAS1,SIAE
1069,C11orf58,CAMP,HRAS,DENND4C,VAT1,GNAS,IL10RA,FAM118B
1070,SRSF6,IFI44,GOPC,DTNBP1,KCTD6,TUBA1B,PDDC1,HEXIM1
1071,POLD2,MCM3,ANP32A,RSAD1,ZNF480,GATAD2B,POLR1A,GPI
1072,RTP4,PTPMT1,SF3B3,C12orf79,SERPINB6,SYNE1,MRPL34,CTSL
1073,OXLD1,SPRYD4,LAMTOR5,CFLAR,S100A6,LRRC61,CYB5R1,PHB
1074,HAUS4,FAM120AOS,PPP3CC,GID4,POLR2E,TNPO1,RABGGTA,TAB2
1075,RP11-66N24.4,OLFM1,CTSS,CHMP6,SKA2,RABEP2,SNW1,SEPT4
1076,GARS,DNAJC4,GOSR2,POLDIP2,EMB,MRPS15,SNX9,CX3CR1
1077,AIG1,ST6GAL1,MRPL13,ADRBK1,NOA1,PPCS,PABPN1,FAM214B
1078,ATP5G2,EHBP1L1,ATF4,UBE2D2,SLC7A1,TIMM22,TICAM1,EHD3
1079,UBLCP1,CAMTA1,PTPMT1,YTHDF3,TRIM69,ICMT,ST3GAL6,STAG1
1080,FBXL3,GLRX5,ZDHHC6,VPS53,ARHGAP27,CARD16,ATP5D,CYB5D2
1081,TSR1,HDLBP,ZCCHC17,CXorf40A,RP11-792A8.4,CHTOP,ETV6,RPS27L
1082,GPR65,STRN4,NUP88,PFDN5,SLC25A19,RBM42,GNGT2,UCK1
1083,BACH2,LTB4R,ENO2,SIVA1,JARID2,TTC1,DCPS,HBP1
1084,IREB2,BANF1,TCP1,CHD3,LTA4H,ERCC6L2,SHFM1,EPS15L1
1085,HAUS7,ZBED5-AS1,ARPP19,TRIP12,YWHAG,VPS41,C2CD3,POLR3K
1086,BCL10,FAM178A,PRR5,RPS8,PIN4,TBC1D19,LRRC8C,MADD
1087,SLC4A7,SENP2,JMJD1C,SUGT1,DRAM2,TXNL1,PYCARD,ORAI1
1088,MAML2,SLC36A4,NONO,ISCA1,PSME1,MVP,KIAA0922,CLASP2
1089,ADSS,RNF167,PRRC2C,SNRPB,RNF181,TPGS1,LSM7,SEC61G
1090,SPRYD7,KDM7A,BCS1L,GINM1,ARF6,SOAT1,HMGA1,SNRPD3
1091,NIPAL3,MORF4L1,MPHOSPH9,FAM103A1,CFP,UBXN2A,THAP9-AS1,CDKN1C
1092,SRA1,HNRNPM,FDX1,TPD52,PHF8,TRNAU1AP,GRSF1,CHD2
1093,PGAP3,PARVB,COPS3,POLR2F,TPST2,TMEM160,RNASE1,AKT1
1094,TMEM141,FARSB,SNRPF,GNL3,UBR3,ARPC1A,SSR1,TMEM175
1095,SPIDR,TAGAP,NPRL3,RAB3GAP2,LPCAT3,EZR,NUP93,HMGA1
1096,QSOX1,LMAN2,SETX,CCT5,AP003733.1,PRR5L,RPL37A,STRADB
1097,MAT2B,ARF5,COX6B1,ZNF346,SNRPF,BTG2,ODF3B,NR1H2
1098,DYRK2,FAM91A1,TAF1A,TMBIM1,STK24,APTX,ABHD17A,ATP6V1F
1099,TBC1D10C,DYNLL1,COCH,ITPKB,BFAR,ITGA4,MSI2,TANGO2
1100,PAPSS1,TPD52L2,FAM159A,PSTK,MYO19,DERL1,FAM213A,PXK
1101,SDCCAG8,ZNF787,RGP1,EFNB1,CD244,CFL1,TBCC,ERICH1
1102,ISCA2,TRABD2A,EPM2AIP1,ATP6V0E1,DUS1L,ELOVL1,ZFR,RGS3
1103,TAP1,JTB,PACS1,TRAPPC3,KIAA0319L,ATG16L2,TSPAN13,HIPK3
1104,SERPINB6,POLR2J3,FOXRED1,USP10,RBBP6,VCPKMT,EIF6,TBC1D5
1105,COTL1,MAP4K2,SNAPC3,SLCO3A1,ZNF688,CCNG2,POP1,TBC1D15
1106,CSPP1,LPP,HSD17B8,RPL27A,UROS,HCST,TNFSF13B,ECH1
1107,ANKRD39,HSD17B4,EML4,HENMT1,AKT1S1,TSPAN5,TIAL1,TRIB1
1108,CDKN2AIPNL,C6orf136,DYNLRB1,SPIN2B,CITED4,GTF3C1,PURB,PLBD1
1109,P2RX4,NUDCD3,SAFB2,PSMB8,IRF7,MALAT1,PDHA1,RPAIN
1110,GNB2L1,AEN,CHMP2A,RPS3,TRAPPC3,EML4,IDO1,GFOD1
1111,FUBP3,CEBPB,APOLD1,LITAF,ATP2B4,GATAD1,ZNF263,SPPL3
1112,ATAD3A,NBPF14,RP1-197B17.3,ST6GALNAC4,UBE2O,PAXIP1-AS1,CLYBL,NELFCD
1113,NUP107,ARHGEF37,EEF1G,TCF7,GPR65,OSBPL5,CNOT6,CNST
1114,TMEM69,ENGASE,BFAR,RNASEH2B,MT-ND3,IL12RB1,TRAF4,CENPC
1115,LTV1,DHDDS,KPNA1,KHK,YAF2,MOB3A,ETF1,DCAF6
1116,HSD17B10,TRA2B,PPP4C,DPP9,NABP1,PDHX,IAH1,CCDC109B
1117,C5orf28,CSF1R,LSM3,MTA3,IMPAD1,MIR24-2,STT3B,NT5M
1118,EIF2AK2,ZNF22,LRMP,MRPS10,PRKX,RBM25,AAMP,CGRRF1
1119,PITRM1,IRS2,SIDT1,NDUFAF3,EIF3B,BDP1,FYTTD1,NAPA
1120,SPRYD3,RAP1GDS1,TMEM60,HAUS1,CIR1,RAD23B,MDP1,PDCL3
1121,HPS5,PAK2,GABPB1,CBX7,IFT20,HMOX2,RNF168,ADRB2
1122,VAMP3,EXOSC7,RALGAPA1,POP4,POLR2H,CERS5,ARL6IP4,SYK
1123,IRF2,IRF8,GTF3C5,EBNA1BP2,ZBED1,C1orf35,TMEM167A,SEC14L1
1124,RMND5B,CTD-2006K23.1,SCAP,TAF2,RWDD4,CTC-524C5.2,YAF2,UNC45A
1125,NDUFA1,MAP3K13,PUF60,DESI2,ST7L,RP11-119B16.2,PEBP1,FAM3A
1126,PSMG1,DISC1,TSR3,IL21R,TXNIP,MOB4,HADHB,WNT11
1127,CHMP4A,SORL1,DGKD,CHCHD10,NME4,ARHGEF9,SAP18,ETV6
1128,BAZ2B,GNAI2,ALG12,TAF1C,SIK1,HIGD1A,MSRB1,EIF5B
1129,UNC13D,NOSIP,C14orf1,RP11-403A21.2,DDX52,MR1,BFAR,PBX1
1130,BZW1,TFEB,ACTR2,CUL4A,DDX47,MYADM,ZDHHC24,MAN2C1
1131,DDX3Y,PPM1M,C6orf62,POLR2I,AC022498.1,CMTR2,LYRM7,UBA7
1132,PARP12,PCM1,TXN2,CYB5R1,TYW3,CD99L2,CUL1,RHOBTB1
1133,BCL11B,LRRC8D,BNIP2,TERF2IP,AKR1A1,CPNE1,FUS,MRPL9
1134,ZNF839,RP9,COX11,CACTIN,CIRBP,METTL9,THOC6,ERLEC1
1135,CYP4V2,FAM114A1,DHODH,PRMT2,COPS8,SREK1,GPR107,SRRM1
1136,BAK1,FOLR2,MMAB,VPS33A,HNRNPH2,CYCS,DMAP1,FBXO3
1137,ANAPC10,TRIM39,SBDS,FAM8A1,COPB1,LIM2,GFM1,PTRHD1
1138,TNFRSF14,C20orf201,UGCG,RP11-35G9.3,U2AF1,PSMD14,UQCRB,ATP5L
1139,RNF181,GSTT1,AL592183.1,C12orf29,C12orf49,FADS2,ATG13,CYB5R4
1140,PPP1CC,ANKRD13D,MARCH9,LLGL2,ESRRA,KLHDC3,CCDC22,XPO6
1141,AC016831.7,TMEM80,USP30-AS1,TRIM47,AKAP7,SERINC3,LINC00528,C17orf89
1142,LRRC28,BANP,RITA1,LTK,NKG7,IMPDH2,FKBP11,RP11-110A12.2
1143,ARHGEF37,GGCX,CYTH1,FBXO44,PAPSS1,CD2AP,C11orf83,TIMM8B
1144,GPD2,PDE4B,PPP3CA,ZBTB2,MPG,SLMO2,MTCH2,C18orf32
1145,RIC8B,RNASE4,WWP2,ZNF101,GGA3,EIF3A,ARMC10,ZNF778
1146,HMG20B,ALAS1,TELO2,GSTZ1,PCTP,OLA1,IL15,PCMTD1
1147,ISY1,CMC2,GOLPH3,NOMO1,GOLM1,LAMTOR1,KRT10,SNX18
1148,ATP5D,PSMC5,KCNQ1,TMEM18,HMGCL,CENPL,HEXDC,STIM1
1149,CCDC124,SLC35F6,ETFDH,ZSWIM7,KDM4C,STOM,SF3A2,IFIT3
1150,PDSS2,FAM168B,C17orf59,FADD,UTP11L,MRPS27,METTL2B,TMSB4Y
1151,MAST3,TRMT10B,PMF1,CPSF6,POLK,SEPHS1,SLC12A9,TSEN34
1152,TTPAL,ATRN,EPN1,DLD,COPS7A,EXOSC9,SMARCA2,TSPAN18
1153,AAED1,RNF149,GATM,CPSF4,RELT,IDS,MAGOH,PRKAA1
1154,LYPD2,SP140L,SP140L,RPL6,WIPF1,USMG5,HEXB,CAPN2
1155,TRIM16,RDX,RBM33,RAF1,LTB,CHMP1A,ITPR3,HSPA9
1156,CDC37L1,TFDP1,ATP5S,CLCN3,EMC1,EID1,TIFAB,RPUSD1
1157,ARHGAP17,NAGK,PSMC6,C2orf43,NDUFAF6,CLASP2,SRRT,SPG11
1158,AC027763.2,UROD,CLPX,RP11-660L16.2,DTYMK,RPN2,ASL,TUBB6
1159,RAB37,MRPL13,BOD1L1,TMUB1,ALDH16A1,C6orf106,KLHL5,CTR9
1160,BBS2,DALRD3,NEIL2,SMG1,PIK3AP1,ZNF83,TRAF7,PNRC2
1161,MYCBP,PUM1,CORO2A,WBP11,METTL17,UGP2,BRI3BP,MOB3B
1162,NFKBID,MPP7,ITGA4,ACAD9,RNASEH2B,TRAPPC13,ARMCX1,KMT2E-AS1
1163,KLHL3,TSSC1,MOSPD3,PCGF5,HDGFRP2,SOCS2,SEC24D,F11R
1164,GRWD1,TRAF3,TRAPPC12,PIK3CD,ZNF141,KPNA1,GYG1,AQP3
1165,TUBA1A,FUNDC2,ARHGAP4,POLR2B,HDAC3,ARV1,RAD23A,GABARAPL1
1166,TAF9B,ALOX5AP,USO1,DPH6,ARL6IP4,CXCR1,TMEM106A,ZFAND2B
1167,ZNF573,ASH1L,STAG3,ARF1,FLCN,MRPL38,C7orf73,RIC8A
1168,TBCCD1,SKAP2,NKTR,C2CD2L,EPB41L4A-AS1,EWSR1,S100A11,SLC25A39
1169,GALNT2,CREB3L2,TMX1,CAPN10,PUSL1,TAPSAR1,SNRNP200,PSMB9
1170,CCNC,GOLGA7,ATP2A3,TMEM109,HDDC2,RAB18,USP9X,AC092295.7
1171,COX4I1,DDT,FLOT2,CMPK1,TBC1D10A,PPP1R11,YY1,PANX1
1172,HOOK3,LINC00116,TRAPPC12-AS1,FAM126A,PTGDR2,BBX,SMNDC1,GGA1
1173,HELZ2,CTA-217C2.1,POU2F1,MOCS3,ATP6V1D,IL4R,ETFA,NFKBIB
1174,YTHDC1,RNF113A,CALCOCO2,GEMIN7,SIRT5,EIF5B,CXorf21,SH2B3
1175,JKAMP,APP,UQCRQ,ABCC10,SWI5,RP11-1094M14.11,NCOA4,PTAFR
1176,UBE2R2,DLAT,ATP10D,RRAS2,SRPR,SREK1IP1,UBE2E2,ASAP1
1177,IKBKE,ULK1,MTX2,RAN,PUM2,AK1,MXD4,ILF3-AS1
1178,NFIC,SLC2A13,CDK9,ZNF689,NDFIP1,BRE,TCEAL8,USP22
1179,MDS2,CLN3-1,INPP5B,NFYA,HECTD1,KIR3DL1,OPN3,TAF3
1180,IL6ST,AGA,COMMD3,CDK6,SLC11A1,PHTF1,SYAP1,GOLPH3
1181,RSRC2,ANKDD1A,YIPF6,ELP4,UBA2,AP5Z1,AGPAT1,CHST2
1182,PLAUR,PINX1,UBE2Z,SEPT6,UBE2D4,SLC35E1,SLC11A2,LSM4
1183,KIAA1586,UBA7,MEF2D,OMA1,RNF168,CLPTM1,SUPT20H,JKAMP
1184,SCAI,LINC01004,ZNF281,PPP6R2,ADSS,VWA5A,CCDC28A,CKLF
1185,POLB,TMEM18,SLC2A1,BORA,TBK1,PLEKHA1,FAH,BZRAP1-AS1
1186,BCAT2,CCDC69,ITPA,PPHLN1,SIGLEC9,KANSL1,BET1,GPN1
1187,CREBL2,YPEL5,IP6K1,IMPA1,SNX14,WBP1L,PIGB,NFKB2
1188,RPA2,MRPS5,MTMR14,TBCD,UBE2I,DNAL1,LIMS1,AZIN1
1189,L3MBTL3,GNPDA1,CCDC12,WBSCR22,GIPC1,TMEM150A,PNKD,RAB11B
1190,CLN5,IMPDH1,RECQL,TMBIM6,APOPT1,DENND1B,MARCH2,KLHDC3
1191,DDX54,CMKLR1,FAM177A1,URGCP,ROCK1,ATHL1,DBI,TPR
1192,LEPROT,TMEM141,PPRC1,ATG5,COA1,TIMMDC1,DECR1,RNF114
1193,ATP5C1,EXOSC2,PCGF5,TRAPPC2,CD300LF,FADS1,SSBP4,SNX2
