,CD4 T,CD14 Monocytes,B,CD8 T,FCGR3A Monocytes,NK,Dendritic,Megakaryocytes
2751,AFAP1L2,PHF7,HCFC2,CEP192,LINC01011,ENTPD6,TNPO3,CDH20
2752,PQLC1,RP11-8L8.2,WRAP53,TXLNG,LUC7L,ZNF473,PLA2G12A,ZNF709
2753,AGPAT5,DTHD1,NBPF1,APEX1,MMP23B,RAB7A,TNK2,RP1-151F17.1
2754,TRIP4,PPIG,KDM5D,ADPRM,RP11-326C3.15,ZNF568,SACS,RND1
2755,ZNF507,LAMC1,RP11-1094M14.11,MAPKAP1,AIDA,RP11-309G3.3,CCAR1,SUN3
2756,GOLT1B,ZNF331,RPP25L,ZBP1,HDHD2,DDX1,C1GALT1C1,ATP8A2
2757,TAB2,ATAD2,MYCBP,RP11-350G8.5,NAGPA,UPF1,SLC39A4,ARHGAP42
2758,B9D1,SLC22A18AS,FPGT,RP11-218M22.1,C2CD3,REL,JUN,CTD-2201I18.1
2759,FBXL17,NONO,RP11-554J4.1,RP11-804H8.6,FAM175A,STRBP,KDM4A,SLC16A10
2760,PRR3,MEA1,FADS2,EFHC2,OARD1,TADA2B,SVIL,RP11-540O11.6
2761,SLC25A3,ANKRD22,COG1,PSMC2,VAV1,ABCD1,SIRT1,RP11-247A12.2
2762,NUDT6,EXOSC5,TWSG1,ISY1,SPTY2D1,MITF,RP11-522I20.3,Y_RNA
2763,ASCC1,RPAP1,NEK7,ZNF410,HAUS5,IMPA2,NLRX1,SKA1
2764,CSGALNACT2,C21orf49,RP11-4F5.2,UTP14C,TANK,AARS,F12,CCDC3
2765,POR,TEFM,ZNF33B,RP11-367G6.3,ZNF668,MIB1,IFI16,ZNF286B
2766,GM2A,MRI1,ATN1,RP11-513M16.8,JADE1,TOMM5,MLLT10,CHMP3
2767,TMCC1,GNG7,SMPDL3A,SLC25A6,COG1,ZBTB22,FLT3LG,RP3-486I3.7
2768,ABCD4,FBXO3,ARV1,ZNF2,PLGRKT,FCHSD1,SMG1,AC007228.5
2769,PIAS4,AMIGO1,CPSF3,GTF2IRD1,PAPD5,SPAG9,ADPGK-AS1,SGPP2
2770,SPAG16,TIA1,CKS2,NOP9,MGEA5,GPA33,NR4A3,CTA-445C9.14
2771,BRF1,ZNF790,WDPCP,WBSCR22,SMG8,COQ5,SERTAD3,AP003068.9
2772,MFSD5,RP11-245J9.4,CHMP6,MAP4K2,ZDHHC8,TLK1,MZF1,FNBP1L
2773,CCDC112,RFC5,POLK,AZI1,NSL1,SSBP3,VPS33B,C9orf24
2774,IGF2R,CCDC7,ZNF782,MOCS2,FAM192A,EFTUD1,NQO2,RP11-6F2.5
2775,LILRA2,CYB5D2,DDX21,PAM,RP5-1028K7.2,B9D2,CASZ1,SLC23A3
2776,TMUB1,RNF144A,STARD3NL,AC062029.1,RPUSD2,HPS4,STUB1,GAS2
2777,INTS8,STK19,TXLNG,TAF11,DHFR,RP11-262H14.3,RPS13,UBXN10
2778,ZDHHC2,ZNF133,LCORL,DNAL4,TSGA10,ZNF880,ARHGAP17,MCAM
2779,C16orf86,LAMTOR3,PARP15,FAM135A,C12orf4,AC012358.8,SYNGR2,RP11-46J23.1
2780,HMBS,RP11-390E23.6,ABHD16B,SRD5A1,SRP14-AS1,FPR2,MED23,PM20D1
2781,RP11-334C17.5,VNN2,EBP,CTB-118N6.3,SLC1A7,KPNA1,TIMM21,RP11-379K17.4
2782,L3MBTL1,MCUR1,PISD,RAVER1,RP11-277L2.3,DPM3,IWS1,SRRM5
2783,ZDHHC20,RNF20,ZDHHC9,RPS27,HECTD1,RP11-505K9.1,MESDC1,ZNF724P
2784,OSBPL1A,UNC13D,TRIM39,RP5-940J5.9,IRAK1BP1,DCAF12,NUDT17,TAS2R30
2785,VAMP7,C12orf4,ANKRD46,CTD-2256P15.2,ADPGK-AS1,THEM6,DNAJA2,RP13-131K19.7
2786,DENND5A,CPT1B,PHKA2,AC074289.1,SCAF1,PGM2,TTC9,CLTCL1
2787,RNF168,PP13439,ZCCHC6,RP11-589P10.5,C1D,PPA1,GPBP1L1,CTD-2516F10.2
2788,ZNF251,ST3GAL2,SDCBP,MTRF1,PIP5K1A,MIB2,RNF115,CCL3L1
2789,KMT2B,C8orf44,TMEM209,ASCL2,ZNF44,LIN7B,ATG4A,QRICH2
2790,WDR60,RP11-448A19.1,NPIPB6,CSNK1G1,MTMR10,ZNF407,IL7R,MYO1B
2791,RP4-583P15.10,SEC62,TUBE1,FIS1,FXYD1,DSCR3,SRP19,LINC00511
2792,IGFBP6,TTC17,FAM153A,TRIM24,TMEM214,C1orf27,TEP1,TCEAL2
2793,EXOSC6,LINC00968,SNAP47,GORASP1,ZNF442,RP11-755B10.4,USP5,TMPRSS3
2794,RP11-262H14.3,TOMM70A,CTBP1-AS2,RPL36AL,PUS7L,FGD3,C12orf73,RP11-46H11.3
2795,PLSCR1,OXSM,C21orf49,ZWILCH,TTC31,ODF2,TSG101,FGF14-AS2
2796,DUSP1,TMPRSS13,LACC1,PM20D2,CES1,NDUFB7,CDIP1,ZNF711
2797,UPP1,GHDC,LGALSL,SMIM4,SIVA1,CDAN1,C1orf53,FBXL22
2798,VKORC1L1,NR1H3,AK8,LMAN2,TOB2,STK24,DDB2,ANKRD31
2799,STOML1,ARL5B-AS1,MYO18A,PAIP2B,RIPK2,MPPE1,DDX18,RP11-56B16.4
2800,ZNF701,ZNF468,DIRAS1,PSPH,KBTBD4,COX18,CUBN,OVGP1
2801,THAP5,ANKH,SLC25A17,CS,POR,KRT18,SPOP,CTB-47B11.3
2802,NR2F6,TRIQK,TMEM182,AC120194.1,COQ7,PORCN,DAB2,KLB
2803,ZCCHC7,FAM167A,PRPF6,N4BP1,REXO1,ALG1,USP31,RP5-940J5.6
2804,GSPT1,CTD-2012J19.3,AC002310.12,FBXL16,THEM6,PXN-AS1,GNAI1,KIAA1107
2805,TAF12,RP11-317J10.2,RP11-63P12.6,AGER,LINC01023,PTPN2,COX11,NPAS2
2806,HUWE1,NUAK2,MAP3K7CL,CHEK2,MAP3K10,PRR7,ZNF623,RP6-206I17.2
2807,TARDBP,AC007036.6,AC002117.1,POMZP3,ZMYM5,DHX8,RHPN1,RP4-794H19.1
2808,WDR27,CPOX,RRP9,MIEN1,C15orf40,TRERF1,NSMCE1,RP11-178L8.7
2809,ARHGAP21,CCT2,CDC20,TBC1D2,HIST1H4E,PDE8B,ULK3,RP11-312B8.1
2810,ANGEL2,RBMS2,PDE8A,RP4-728D4.2,RP11-63P12.6,AASDHPPT,DUSP28,RP5-1042K10.10
2811,CTLA4,HAUS2,ATG7,UBE2D3,CS,CTTNBP2NL,CTD-2086O20.3,CLCN4
2812,PDE9A,EFHC2,RP11-313P13.5,FPGT,SEPT2,GIGYF1,CDR2,FAM132A
2813,IPPK,LZTR1,RAD51D,IPO4,TCEB3,DDRGK1,P2RY14,COLCA2
2814,INO80D,GAB1,ZBTB10,ZNF117,PRRT3,GBF1,DOT1L,ADD2
2815,PGGT1B,CMPK2,PCED1B,ZNF324,ZCCHC4,C1orf112,COX6B1,TLR9
2816,PPP4R1,ZNF768,SETDB1,HSPBAP1,PRNP,LINC00094,HSD17B10,ZNF578
2817,C2orf68,LAT2,TRIM33,HIST1H1D,TIMM8B,NQO1,CDC40,MUC20
2818,TADA1,TTLL4,ZSWIM8,RPPH1,PDE12,CFL2,DKC1,CTD-2532N20.1
2819,ARHGAP11A,CPNE2,TBC1D5,ZBTB21,RP11-51J9.5,SLC38A9,KATNBL1,ANKRD50
2820,TAF9B,JADE1,RNF139-AS1,CAMK2N1,BAZ1B,RUNDC1,SCRN1,RP11-336K24.12
2821,FBXL3,CNOT3,SESTD1,IRAK1BP1,SIK1,TAX1BP3,HIVEP3,RP11-392P7.6
2822,HLA-G,CAPN10,RALA,DYRK1A,XKR8,DDHD1,ATG12,RP11-362K14.6
2823,ZCRB1,SLC8A1,GTF3C6,NFAM1,NDUFS1,FZD1,GTF2H2C,RP11-265P11.2
2824,HEATR5A,SLC25A43,DENND5A,LCORL,RBCK1,CEP85,NPHP4,SUGCT
2825,MT-ND1,ZNF142,KIAA2013,ABCA2,TFAP4,RRM2,BRD7,C19orf18
2826,ZNF606,AC147651.3,DBF4,OSBPL2,MED7,WDR46,RNF139,TEX12
2827,CCDC84,RP3-325F22.5,PSTK,EHMT1,GCH1,WDR92,PRKD3,LIG4
2828,ACAP3,DDX24,RP3-400N23.6,C12orf65,NOL12,IPO7,CAD,RP11-666A1.5
2829,MGAT5,NDUFB2,HNMT,CREB3L2,SYTL2,PRPF4B,AP2M1,C14orf132
2830,SRPK2,HOXB4,MAN2A1,GGCX,PGAM5,IRS2,C15orf40,AP001610.5
2831,GOLGA1,PIK3R1,TPGS1,ZNF304,RP11-212P7.2,BIRC3,PELI3,RP11-314O13.1
2832,RPP25,GM2A,KIF3B,PON2,TECR,RABGAP1,MRPS12,AC004158.2
2833,COX10,SFT2D2,IDS,KIAA1731,PRR3,RP11-701P16.2,CCT5,RNF157-AS1
2834,AC093642.3,JMY,IL2RA,DYNC2LI1,MORC2-AS1,HDDC3,GAB2,SLC12A5
2835,STAT5B,GUCY1B3,PRKCQ,KIAA0825,NMB,PJA2,NCKAP1L,CTC-209H22.3
2836,ABHD12,RPUSD2,RMND5B,PINX1,SP1,RP1-315G1.3,PLEKHA2,LYG1
2837,RP11-402D21.2,B3GALT2,BDH1,TAPT1-AS1,ZFP64,KYNU,CLDND2,CTD-2651B20.3
2838,AHCTF1,ZNF71,RPN2,TMC4,MDP1,LHPP,WBSCR22,AKR1CL1
2839,ANKHD1-EIF4EBP3,CMC2,AFF1,RPAP2,TM6SF1,POT1,PI4KA,RP3-477O4.16
2840,CYB5B,AGO3,LDB1,PLAGL1,TMEM185B,CTD-2319I12.2,TAPBP,CTD-2587H19.1
2841,SMEK2,RP5-1073O3.7,FGD5-AS1,ENAH,SURF1,GPR133,TGS1,GMPPA
2842,NDUFB2-AS1,DENND1A,RELL2,LEPREL4,HLA-G,RP11-78O7.2,NOMO1,CTD-2227I18.1
2843,MCM9,PDE4DIP,RTP4,ACAD8,FAM120B,COPS4,MTERFD2,RP13-131K19.2
2844,TMEM11,PLEKHG3,ALYREF,CIRH1A,PARP3,THEM4,AC016629.8,RP11-105N14.1
2845,RXRB,HCFC2,CSF2RB,SLC5A2,AEBP2,IKZF4,NISCH,AC024940.1
2846,MED22,ANKHD1,CAPS,LAPTM5,PCCA,MMAB,HS3ST1,KHDRBS2
2847,GTSF1,TUBB2A,SSBP4,COMMD2,FERMT3,SLC25A35,NUDT16L1,SCARF2
2848,HEG1,TAMM41,TUBA1C,NXT2,TCEA2,PHF3,RPS29,ALPL
2849,PAPOLA,IREB2,TTC7A,STK11,SLCO3A1,PPP1R16B,THEM4,MAMSTR
2850,ATF6,MOCS2,DENND6B,TIMM50,CLSTN3,ZNF684,FAM101B,CACNA1C
2851,UBE2S,UBB,RCOR3,ABL2,TRAF2,DTYMK,TNFRSF21,RIMS3
2852,PPP1R9B,PRAF2,USP14,BZRAP1,THAP11,AC137932.6,COQ3,RP11-571M6.7
2853,BET1,PTTG1IP,CHCHD5,PAOX,VDAC3,RPL37,ORAI2,CEBPA-AS1
2854,NEDD8,MDM2,KLHL18,SYNE3,ABCD1,SYT17,ERAP2,ZNF223-1
2855,ZNF552,LIPE-AS1,RAI1,RP11-398K22.12,ATP5J2,ABHD2,LIMK2,CNKSR1
2856,DGUOK-AS1,HSPA14,SLC39A10,LMOD3,UBN2,CTC-338M12.5,ARHGAP12,COL6A1
2857,FMN1,PCNXL4,LY96,DKK3,ZNF395,PELP1,SF3A1,RNF175
2858,SZT2,ZNF699,MT-CO3,RALB,TAF1B,TCAIM,PROCA1,RP11-347C12.1
2859,RNASE4,MYO5A,GFER,SMARCA5-AS1,OSBPL8,NUTM2A-AS1,ESF1,RP11-56G10.2
2860,RNF207,SYVN1,KLHL14,NOTCH2,CLK2,ACOX3,STX7,KCNH3
2861,GRAMD1C,MATK,MTM1,MOB2,PTCD1,UTP23,VPS45,B3GNT9
2862,ALG2,SLC27A5,ZC3H11A,LIPE,SCOC,GNB5,GSDMD,DYX1C1
2863,SOCS4,ACTL6A,INHBA-AS1,COA3,ZNF17,MILR1,ULK4,PRDM11
2864,AC109333.10,PCF11,VPS8,OXNAD1,GTF2I,TRA2A,SFT2D1,SEZ6
2865,FAM89A,GCC1,DCAF7,PIK3C2B,HSD17B1,NOP14,ARHGAP22,HKDC1
2866,BRPF1,L2HGDH,SLC25A28,LRIG1,AFTPH,STAG3,VAV3,HCG25
2867,ZBTB4,MROH6,ATP8B2,BFAR,EIF1,ZNF839,NOL3,COL17A1
2868,SUMF2,PSMA4,FGFR1OP,KLHL21,CDK8,MGST2,FAM126B,TMEM136
2869,AP2A2,RTEL1-TNFRSF6B,DUS1L,ZBED1,ECE2,MINOS1,TMEM63B,RP11-290D2.3
2870,TFB1M,POMT2,WDR27,ZNF275,RNASEL,ITLN1,BEND2,CERKL
2871,LINC00998,AP000769.7,AC104699.1,NIPAL2,OSBPL2,DENND5B,C18orf8,CTD-2540F13.2
2872,FOXK1,IFNGR2,KB-1732A1.1,ZNF514,HOXA5,LINC00984,CS,CRB1
2873,KIAA1109,ENKD1,FAM175A,ZNF559,DDX18,C7orf55-LUC7L2,DUS3L,SYCP2
2874,S100B,FAM63B,SLC25A37,SOCS5,LGALS8-AS1,PAFAH1B1,RHBDD1,AASS
2875,AC132872.2,ANAPC4,MED24,SIN3A,TXNRD2,ZNF740,AC010642.1,MLLT4
2876,ATP2A2,WIPF2,FBXW7,ACTA2,MRPL40,NFX1,SMARCAD1,RP11-111J6.2
2877,SNAPC4,TOM1,ALMS1,GNPDA2,RP11-434C1.1,SAAL1,HLA-DOB,AC009950.2
2878,SREBF2,DPY19L1,NHSL1,ZNF212,TPT1,SPCS3,CHCHD3,PAPL
2879,XPR1,ANKRD13D,RRAGB,TSEN2,C18orf25,NPHP4,C14orf64,EIF4EBP3
2880,PPM1F,SLC20A1,AASDH,NEK11,KHNYN,CCDC41,PLS3,PGF
2881,ACSL6,SZRD1,NUP35,IL12A,CIITA,ZDHHC12,SF3B1,RTKN
2882,RAC3,ROCK2,AMDHD2,PIAS2,PPIE,SHFM1,ZNF318,AC013449.1
2883,TIMM8A,RP11-428J1.5,ABCG1,FASTKD1,TRUB2,CHRNB1,TM9SF1,GDPGP1
2884,RAB20,UBXN6,KPNB1,ZFP62,MBNL2,YIF1B,KB-431C1.4,TRIM74
2885,KLHL28,GNPNAT1,BDP1,FAM120A,TBCCD1,SIDT2,ZNF667-AS1,SLC10A1
2886,CIB1,ANKRD40,CCDC77,RP11-138I1.4,PTOV1,C20orf196,TMEM44-AS1,RP4-784A16.5
2887,ZNRF2,TSFM,FBXO3,KIF19,CREB3L2,TMEM181,STK16,CTB-113P19.5
2888,RP11-873E20.1,EIF1,CSNK1G1,ANTXR2,SMDT1,ANXA6,KIF9,RP11-805I24.1
2889,MAGEE1,TMEM214,PRC1,PDE5A,ZBTB38,PAQR3,TRAF2,SNORD3A
2890,RP11-455F5.5,RP11-686O6.2,ATE1,TBC1D9B,SIRPA,PREB,TGIF1,LYST
2891,SDHAF2,ATP13A3,SERTAD2,ANKRD32,AC093609.1,TTLL1,CDC23,GAS8
2892,UBE2D1,DHX34,VPS13A,ZNF566,PPP1R13B,CPSF6,PGM2,C5
2893,DCBLD1,RP11-362F19.3,RP13-977J11.2,TSC22D1,DSN1,GOLIM4,CHD2,AC068580.6
2894,RAD51C,OPN3,SLC35F2,KAT7,ERCC2,SERTAD2,ABL2,ZBED3
2895,ORC2,DSC2,RPS17,MAP1B,ZNF830,PBX3,NAALADL1,ITPKB-AS1
2896,FBXO11,EPHB3,HAUS5,SURF1,TAP1,KLHL9,STAC3,CTH
2897,CDHR3,CBR1,MFN1,SLC2A1-AS1,REEP5,TM9SF3,RP11-79P5.9,AC008440.5
2898,UBE2O,REPS1,CNNM4,CEPT1,RP11-603J24.5,ZC3H7A,GDPD5,RP3-380B8.4
2899,FAM118B,RFESD,ARIH2,FAM86C1,TAOK3,LRRC59,TWF1,AP001412.1
2900,LILRB2,RP11-179B2.2,ABCE1,GPR132,FAM35A,C1RL,NLRP3,RP11-552D4.1
2901,CDK7,MOB1B,FURIN,BTBD10,GTF2F2,ZNF34,HES1,PARK2
2902,ORAI3,MIR22HG,DPH6,UBE2Q1,CTB-91J4.1,PRDM10,NFIC,WDR66
2903,MFHAS1,ZNF404,ACTL6A,EEPD1,GAMT,CBWD5,KIAA0930,COL4A4
2904,C1orf159,FAM105B,PTPN22,NUMA1,KAT6B,BEX2,RP11-545I5.3,AC012074.2
2905,C19orf77,USP18,HLCS,SETD1B,ACTR2,NSUN7,MAPK9,RP11-89F3.2
2906,CTSO,MSANTD2,EPB41L2,ZNF71,NSDHL,PHF13,TEX261,PRR22
2907,ZNF383,FLVCR2,H2AFX,PDP1,FAM13A-AS1,TMCO3,AC073283.7,LINGO3
2908,SMC2,KCTD1,GXYLT1,RANGAP1,MRGBP,RNFT1,NSUN3,AC010894.5
2909,DOPEY1,RAB30-AS1,RP11-421L21.3,WDR86,HSDL1,HRAS,FAN1,CELSR2
2910,TMEM150A,HIC2,KATNA1,YBEY,MATR3,FKBP5,ATP2C1,PIWIL1
2911,MYO9B,ZNF350,AUH,STS,MAST4,ZMYM5,WNK1,PHLDB1
2912,SLC30A9,MSMO1,HAUS8,ICA1L,KDM6B,SLC35E1,RP11-220I1.1,KLHL11
2913,LINC00920,FBXW4,CHAC2,C9orf78,DUS2,AC005306.3,PNISR,CYP2J2
2914,HINFP,PTPN22,BAZ2A,THAP6,C11orf68,TTC32,SOWAHD,RP4-813F11.4
2915,CCDC71,ZNF124,ALKBH3,MIB1,TOP2A,RP11-265N6.1,SMURF2,TRIM60
2916,SPEF2,CLPX,TEX2,GNE,FBRSL1,KIF3A,EHBP1L1,BEND4
2917,TYW1,IL1RAP,CREBZF,WDFY1,RP11-115C21.2,SPRTN,CTA-217C2.1,RP11-977G19.12
2918,EGR2,CEP63,GNB4,COG8,GUSB,TRIM8,HIP1,AC123768.4
2919,FNIP2,GDPD3,SRCAP,BTBD2,IRF1,MBD3,PIGO,YY2
2920,RABGAP1L,MLXIP,CHMP1A,EBNA1BP2,UNC13D,MARK2,DDX51,RP1-234P15.4
2921,RP11-522I20.3,SEC22A,AC016831.7,PAFAH2,WDR27,CPSF1,MKS1,RP11-95P2.1
2922,SDR42E1,NEFH,TRAF3IP2,RP11-196G18.24,COPB2,RP2,PDE4DIP,DHDH
2923,N6AMT1,LMTK2,EVI2A,CENPT,GLTSCR1L,NAT1,MCTP2,CCNT2-AS1
2924,LINC00115,TAF1D,EID2B,HIATL2,FICD,ABHD1,CDKN2AIPNL,CDON
2925,PUM2,CHRNB1,MSC,PGRMC2,OSM,CLN5,EXOSC6,SLC2A5
2926,ATG4C,RP11-127B20.3,KIAA0947,ZNF783,PMS1,XXYLT1,CLDN23,ZNF205-AS1
2927,NAB1,SLCO4C1,ATP6AP2,ATP5H,INO80D,SEC24A,UFD1L,TMCC1-AS1
2928,TBL2,FASTKD5,GDAP2,BLOC1S3,LRIF1,TMEM115,ADCK1,AC195454.1
2929,RAC2,AMD1,ZNF436,RNF20,CTC-479C5.12,ITSN2,SGK223,RP11-15A1.7
2930,RP11-138A9.1,KIAA1109,SLC45A1,EPSTI1,NR1D1,ZBTB9,GTF2H2,SLC3A1
2931,AC145212.1,SEPT11,FAM178A,LMBRD2,RAD23A,SLC25A20,SDCBP2,RP11-225H22.7
2932,USP35,PTBP1,ACTR1B,DPM3,IARS,BRAP,CHD7,ABLIM2
2933,CDK11A,BACH1,PPP2R4,NUMBL,HMGN3-AS1,FCRL3,MED17,RP11-293A21.1
2934,PGAP2,ARHGEF6,HERC2,CDC27,ZNF543,PTMA,AL139099.1,SEMA4G
2935,NFE2,ZNF446,CRBN,FAM20B,RP11-315I20.1,RP11-403I13.8,TMEM62,RP11-452H21.4
2936,DEGS1,TRNP1,GLE1,LINC00865,ASCC2,C16orf91,TTTY14,AGAP1
2937,AQR,RP5-1091N2.9,SLC25A12,CYTH1,TRAF5,YWHAB,RP11-288H12.4,CTD-3203P2.2
2938,NUS1,MYO10,ZNF791,AEN,ELMOD3,ADPRM,RP5-1125A11.1,RBM12B-AS1
2939,IPO5,MRPS28,R3HDM1,USP31,PCNXL4,UBQLN1,SEC23B,ZNF84
2940,PRKAG1,POC1A,DCTN1,RPA4,NDUFA6,PTAR1,DTNA,DAB1
2941,DGCR2,FAM73A,NPHP1,PBLD,CCNC,ACOT13,CAMKK2,RP11-159H10.3
2942,C6orf25,TBC1D31,HSD17B4,ANAPC2,RAB20,NTAN1,SLC45A1,RP5-1098D14.1
2943,SAC3D1,IGSF8,KLHL17,DDX47,TOMM40L,FANCG,NFX1,MAGI3
2944,YIPF6,DNAJB14,ATP6V1B2,PERP,POLL,MAPK6,FKTN,SAPCD2
2945,HRH2,PBRM1,NDUFA11,ZNF623,ZFP69,GABPA,MAFF,RP11-77H9.8
2946,ALPK1,ANKRD35,MICAL3,ZFR2,TJAP1,AP001372.2,MID1IP1,ZNF396
2947,ARHGEF18,SCYL2,ELL2,DDX60,C10orf11,NACC1,RN7SL832P,NLGN4Y
2948,STAMBPL1,COG2,C6orf203,TFDP1,MCAT,S1PR4,ZFP57,RP11-666A20.4
2949,KIAA1009,RFC3,GLCCI1,CYTH4,SNX4,DDIT4,NPIPB11,BOK
2950,PNPLA7,TAPT1,EFCAB4A,PHAX,ERAP1,GLTPD1,TMEM159,AC006547.15
2951,GPR82,RP11-661A12.7,CTD-3065J16.9,RBM28,DMKN,PPP1R35,HSPH1,MTFR2
2952,IAH1,KAT6B,RP11-382J12.1,FBLIM1,PLA2G16,PFKFB3,ENOSF1,RP11-359K18.3
2953,RWDD4,RP11-15A1.3,REV1,RP4-612B15.3,CNFN,RP11-138I1.4,COMMD7,DMC1
2954,ZNF438,C6orf120,PSMA3,ERN1,UVRAG,MYOM2,RNF20,TCAP
2955,FCER1A,ZNF280C,NT5C2,COMMD8,HDAC7,BCL9,S100Z,DPY19L2
2956,APOBEC3D,MT1F,SPHK2,F11R,KLHL12,RAPGEF2,PCYT2,RBL1-1
2957,ANKZF1,BEX5,LYRM2,MALSU1,HPCAL1,TLE1,ACAT2,FAM83G
2958,NOL6,LMAN2,CYP20A1,ZFP64,FUBP1,TGDS,CIRBP,AGAP5
2959,SLC25A46,CTD-3093M3.1,CYHR1,HRASLS2,PARVG,JAK3,RBCK1,TMEM254-AS1
2960,PLEKHH2,RP11-803D5.4,KB-1208A12.3,MGME1,LCAT,DMTN,ZNF117,AC104699.1
2961,FBXO9,TOP2A,ADCY3,NKAP,ZNF641,SIGLEC7,GMPR,RP11-805J14.5
2962,SURF2,SLAMF6,SKIV2L2,PDCD7,KLHL15,DFFA,RMND1,RP11-216B9.6
2963,RP11-635N19.1,DNAJC25,EHMT2,YIPF2,SCRIB,NDST2,UBE2J2,RP11-863K10.7
2964,DKC1,NAB2,TLR4,FAM214A,ZNF146,ITPRIPL2,MRPL16,EPPK1
2965,FRS2,ZNF687,PYGB,GGNBP2,TOM1L2,SAYSD1,MAPKAPK2,RP11-264L1.4
2966,C19orf54,FAM3C,MRM1,STMN3,SYNGR1,RELB,VMO1,GPR61
2967,UBIAD1,ZNF585A,DCAF15,KIAA0586,SDE2,HDX,MCC,RP11-90D4.3
2968,DENND1A,MRM1,SLC37A1,ELMSAN1,C15orf26,FBXO41,FAM53B,GRIK4
2969,NCDN,EXOC3L1,CUL5,TMEM138,NCOA6,PMVK,SDS,RAB23
2970,DLGAP3,LACC1,KLHL2,CRCP,LIN7C,ARMCX4,UBAP1,RP11-77H9.2
2971,ZNF589,AC093627.10,AC091729.9,STARD3NL,TMCO4,EMG1,NAA40,TRBV11-2
2972,WDR47,DNAJB4,C19orf68,KDM5C,C17orf59,PURA,GTF2H3,ACE
2973,SLC16A7,KLHL21,YKT6,TTC12,NIF3L1,PAGR1,WDFY1,CMTM4
2974,ZNF680,RINT1,DALRD3,SLC4A2,PML,GPR137,GEM,OVCH1-AS1
2975,RAE1,MPND,VIM-AS1,CXXC1,PCMTD2,UBA5,TRIM35,LINC00630
2976,DNAJC17,ARHGEF10L,RP11-356I2.4,SUFU,COL4A3BP,EEF1E1,KIF3B,SPEG
2977,GTPBP6,ATP5F1,ZNF256,TP53I11,CHRNE,PDK3,RP11-22P6.2,HIST2H2BF
2978,UHMK1,UPF3A,OCRL,DHRS4L2,ZNF446,PIGF,KDM5C,MOCS1
2979,EFCAB2,RCL1,SEPT6,CCNL2,XXbac-BPG252P9.9,MRPL36,MLH1,RP11-388M20.6
2980,C17orf85,FAM98B,MYO1C,IL11RA,LIPT1,ZNF575,RSL1D1,SPR
2981,PPP1R3F,CAPS2,RNF38,FAM173A,ZNF699,DCUN1D4,RAD51C,ATP6V0E2-AS1
2982,CHRNA1,OSBPL8,RHBDL1,ATP8B3,C3AR1,RP11-473M20.7,KIF21B,ZFP28
2983,PLEKHM1,TGFB3,RP11-661A12.7,ZNF790,ZNF444,PDK4,GS1-124K5.3,KLHL23
2984,ZNF83,CALR,PLEKHM1,ATXN7L3,EDEM1,CCDC9,ACAD10,RP11-10C24.1
2985,LRRC27,C19orf66,RP11-126K1.6,E2F6,RMND1,FKRP,NUDT8,RP5-1157M23.2
2986,RCBTB2,EBPL,KIAA1919,AIMP1,RNASEH1,GLRX2,ELF2,CTD-2033A16.3
2987,CTD-2576D5.4,FAM131A,KCNA3,BBC3,BACH2,ATF7IP,SMAD5,RP11-317N8.5
2988,KRT18,BMF,HNRNPD,VPS18,RHBDD3,FLT3,LINC-PINT,ZFP2
2989,COA1,SNX30,TMEM161B,SVIL,PEX11B,RP1-159A19.4,PMPCA,RPL34-AS1
2990,TRAPPC9,EGR1,CCNK,ODF3B,INSIG1,INSR,MPEG1,CTD-2047H16.4
2991,OASL,ZNF589,EARS2,AFF3,RP11-385D13.3,RASA3,B4GALT3,MXRA8
2992,ZBTB48,RP11-203J24.8,CCNT1,ENDOG,AHCTF1,ATG12,C1orf27,CTD-2006K23.2
2993,PTPLA,ANKLE1,GINM1,CTC-425F1.4,KANK3,FAM86C1,AC097500.2,CA6
2994,IGSF22,KLF2,CCDC137,TUT1,UGDH,GYG1,RPL37,CTD-2544N14.3
2995,ALDH1B1,CDK10,PARPBP,SIRT5,TIMM8A,C5orf24,NOL11,RUNDC3B
2996,MDH2,PITPNM2,SEH1L,CECR1,RTN4,CEP95,ZNF10,RP11-641A6.2
2997,PHF20,SNX29P2,PSEN1,TBCEL,IKBKB,AC010761.8,PPM1F,AC145110.1
2998,USP38,USP42,RP11-773D16.1,SNX30,METTL21A,NUFIP1,TRAPPC8,RP11-560J1.2
2999,MAP3K1,LINC00852,STEAP1B,METTL5,E2F4,MIR4458HG,FAM53C,RP1-224A6.3
3000,FN3K,TMEM80,PITPNB,HIST1H2BD,AC079305.10,RTN4IP1,TRPM4,RP11-66B24.2
3001,ULK2,RUNX2,FAM120B,RHOU,MXD3,RP11-119F19.2,THOC7,GTF2IRD1
3002,SERPINB8,IMMP1L,ZNF563,ZNF250,IMMT,IL4R,BRD8,TRIM54
3003,IFI44,NUBP1,MTOR,RP11-452L6.5,C16orf86,IFNAR1,C1orf54,FAM127C
3004,AKAP5,DRAM2,COX7B,TRAM2-AS1,AC091729.9,KIAA0754,CYSLTR1,MTSS1L
3005,ZDHHC5,POLDIP2,RP11-532F12.5,ZNF24,ZBED6CL,IGFLR1,RP11-446E9.2,PADI2
3006,C16orf70,SMARCAL1,RHOBTB2,C17orf72,MCFD2,TSC1,CCDC28B,GEN1
