,CD4 T,CD14 Monocytes,B,CD8 T,FCGR3A Monocytes,NK,Dendritic,Megakaryocytes
4483,CHML,AIDA,NR2C1,SASS6,CERS2,SPATA41,N4BP2L1,TROVE2
4484,RP11-252A24.3,ANKRD28,NUDT7,NFE2L3,SRR,MYO7B,KIAA1598,AZU1
4485,UBN1,RPA4,RP11-793H13.3,SSSCA1-AS1,DRG2,ACCS,SMIM14,SCD
4486,CDK18,TEX2,AGMAT,ZNF763,CSF1,IDS,EBPL,ZNF77
4487,PLXDC1,IPP,USB1,TMOD1,SF3A1,RP11-1007O24.3,RNF213,NHLRC4
4488,MYOM2,ATXN2L,MED23,RP13-270P17.3,CRIM1,PLEKHM1,FLVCR1,ALS2CL
4489,CTD-2371O3.2,RP11-573D15.9,CACNA1I,C7orf60,FOCAD,SLC25A17,ZBTB10,MTMR8
4490,IRAK3,RP5-1050D4.3,LINC00886,RP11-658F2.8,RP11-195F19.5,TRDMT1,INTS8,GNG5P2
4491,ATP2A2,LINC00176,BTBD6,CARF,KIF13B,NAGS,SSC5D,RP4-773N10.4
4492,LCMT2,GPR34,EFTUD2,NDUFA13,KIAA0556,CENPO,RP11-455F5.5,DND1
4493,SLC1A5,FLJ45079,RUNDC3B,INO80C,LINC01004,C10orf12,KIAA1467,RP11-190C22.9
4494,PPP2R2D,ENPP4,ITPKC,CCDC14,ARHGEF39,DPP3,C16orf98,OSR2
4495,AP4B1,HECA,UNC119B,LGR6,AGBL3,RIC8A,RIOK1,HLA-DQB1-AS1
4496,NCALD,AL590452.1,AGBL2,DNAL4,KLF8,RFXAP,RBM15B,KB-1460A1.5
4497,GPR75-ASB3,OSBPL1A,OAZ2,RP4-536B24.3,HCFC1,C3orf62,SYCE1,VSIG8
4498,KIAA1279,ZNF354B,MILR1,PSENEN,GRPEL2,S100P,C11orf63,STEAP3
4499,PLA2G6,MTPAP,ZNF808,CLNS1A,SF3B14,FAM20C,CCND1,AC004540.4
4500,AC017002.1,ZFYVE21,CETN2,SLMAP,C17orf100,GMCL1,TSEN2,CTD-3065J16.9
4501,COX7A2L,SYCE3,ARHGAP12,LSM11,MBNL3,ZNF785,FRY,AC025335.1
4502,EMP3,SUV39H2,TFCP2,PKD1,ZNF598,PUS10,PDK3,RP11-425I13.3
4503,SLC27A3,CLEC4G,WDTC1,RP11-637A17.2,LYRM9,RP11-143J12.2,ZNF671,DIRAS1
4504,GGA3,ZFP41,FKBP1B,THOC2,MAP3K12,PTGS2,THAP3,RP3-510H16.3
4505,XXbac-BPG181B23.7,SECISBP2L,TIMP2,LINC00657,ARL5B-AS1,FAM193A,BAD,C10orf105
4506,UBE2Q2,ZNF830,NCEH1,C19orf73,SLC33A1,KLRG1,TMEM65,XKR6
4507,CCDC97,HPS5,DTHD1,FCHO2,EHBP1,N6AMT2,SASH3,CYSLTR2
4508,PRIMPOL,AC005076.5,GINS2,CHKB-AS1,TMEM129,USP49,RASGRP1,RP11-996F15.2
4509,ARRDC4,CASP2,THAP2,RP11-67L2.2,STK36,TMEM120B,LNPEP,KIF27
4510,RP11-60I3.5,DIP2B,RP11-511B23.1,RP11-513I15.6,KIF9,PLK4,PTS,KBTBD6
4511,DHX58,POU5F2,P2RX7,BTG3,LINC00843,AGAP3,SMYD3,CLECL1
4512,KDELC1,CTA-292E10.6,DNHD1,CCDC121,KIF2C,C2orf76,LIMA1,LRRIQ3
4513,SDR42E2,AC004463.6,KIAA1432,NTMT1,ZNF461,INIP,IKBKB,TSTD3
4514,ZBTB39,RP11-218M22.1,TOE1,UXT-AS1,NME2,LLGL1,TRIM39,AL133245.2
4515,CRHBP,CTC-454I21.3,AHCYL2,SPG7,RP11-488L18.10,ASB8,USP11,RP11-110I1.13
4516,BLOC1S4,ANAPC2,LEO1,AP1G1,SIPA1L3,ZCCHC4,U91328.19,RP11-536C5.7
4517,PDZD4,CYP2U1,GTPBP4,HEATR2,ACAD10,LYNX1,SNAI1,ACVR2B
4518,ANKRD52,HFE,ZNF492,RP1-92O14.3,DCTN5,PHC2,TMCC2,MYO18A
4519,TCF7L2,SIDT1-AS1,FBXO5,DNAJA2,FTX,TAF9B,NUDT16,TVP23C
4520,SLC2A1-AS1,PPIE,SLC4A8,CUL5,YME1L1,AGFG1,EIF2AK3,DSC2
4521,AURKA,POLR3F,PEX6,AK9,HDAC11,FGFBP3,TIGD2,ATP6V1C2
4522,TAL1,EVI5L,ST20,ARHGAP22,MORC4,DGKQ,UBE2F,NBPF3
4523,ZDHHC4,ZNF16,ZNF180,TET1,NIFK,ZNF85,TNKS,XXbac-BPG181B23.7
4524,RPRD1B,KLHL20,EHD3,RP11-23P13.7,POLR1A,EPHX1,TNKS2,GPR174
4525,RMDN3,TOR3A,KLHL6,KLHL26,C6orf229,NPIPA5,FUZ,TLDC2
4526,LXN,LTN1,SERPINH1,FAF1,PPP1R13L,ERV3-1,GCFC2,ZSCAN22
4527,PLGLB1,CEBPZ,ZNF845,RP11-90P5.2,TSSC1,LINC01013,CHD1L,RP11-1348G14.5
4528,RNF103,AAMDC,MIS12,HS2ST1,FANCA,RNF103,CTD-2325M2.1,CMC4
4529,PMPCB,DIDO1,PCBP4,UBL7-AS1,BAG5,C12orf75,TOR2A,RP5-1021I20.1
4530,TBCK,SNORA76,FAM91A1,LEKR1,E4F1,NELFA,CENPK,RP11-589C21.5
4531,PDIA5,E2F1,SPATA6,DHRS1,RP11-359B12.2,CNOT3,PLXDC2,C19orf77
4532,RASSF2,TAF5L,TMEM185B,RFT1,RP11-299J3.8,SEC63,TBCE,POLR3B
4533,RP11-672L10.6,CHCHD5,MTFR1L,KCNH8,RAB11A,RP11-212I21.4,GTPBP1,ACRC
4534,ZSCAN22,EIF4EBP2,RP11-22N19.2,ZNF322,ZWINT,RP11-367J11.2,C10orf2,FAM174B
4535,SEPN1,FBLIM1,CENPC,PINLYP,RP5-940J5.6,PCYOX1,FAM73A,TMPRSS11E
4536,YES1,MGST2,SETD6,RPS10,FAM160B2,SLC2A6,NSMCE2,ZNF613
4537,REM2,RP11-649E7.5,SLC38A11,ESAM,MIR497HG,CXorf24,KCNQ1OT1,BCO2
4538,CUL4B,FADS3,RP11-61J19.4,ZNF239,ZFP30,MSH6,HDX,PPT2-EGFL8
4539,RP11-420G6.4,TRIM23,SMARCC2,CMTM2,IFITM10,RPUSD3,ATPAF1,SH3PXD2A
4540,TMEM220,RFWD3,RGMB,METTL8,PARVG,CPSF4,C21orf33,IL1RL2
4541,RP11-707G14.1,CYB5D1,SCAMP3,RP11-166O4.6,APEH,RFWD2,CDC42BPB,AC021860.1
4542,WDFY2,CCR1,PITPNA,RFPL1S,DHRS11,RFNG,ANP32B,KCNJ14
4543,FOCAD,TRIM74,AP001046.5,RP11-793H13.3,CDK18,PSEN1,USP13,CCDC142
4544,C9orf139,ME1,ESCO2,PPP1R32,LIN37,TNFRSF13B,HIVEP1,KCNMB4
4545,PEX12,ZNF777,VPS35,CASC7,ZHX3,BACE1,NUPL1,AP000692.10
4546,MPND,RP11-51J9.5,ZNF609,SLAIN1,RC3H1,CDK14,RUSC1,RP11-525A16.4
4547,AVL9,RP11-383H13.1,DTNBP1,BRPF3,MED9,LNX2,DHX16,SPRED1
4548,TTLL3,RN7SL1,TCF19,C17orf75,KIAA1191,SCNM1,TMEM194B,C14orf79
4549,DOLK,CCDC51,SEC61A2,KIAA1324L,RP11-464F9.20,DCAF4,RNPC3,ACACB
4550,MAPK1IP1L,BRD4,ENTPD7,ALKBH2,CSNK1G3,TBX21,ESRRA,MMP25
4551,ZNF671,NEK6,RP11-690G19.3,MED31,DOK7,NUP133,COL6A2,SMIM10
4552,ZFAND2A,LINC01024,FBXO28,C1orf27,TMEM106B,CMTR1,METTL8,RGAG4
4553,AP001469.9,ABCC6,ZFYVE16,NCAPG2,FKBP15,RP11-73K9.2,TES,C5AR1
4554,ACPL2,MGME1,RP5-1042K10.10,RP11-705O1.8,GPSM2,GPALPP1,RP11-383C5.4,ZNF813
4555,C6orf120,MRPL30,RP11-10L12.4,GPR82,MORN2,NVL,B3GNT1,RP11-158I9.5
4556,LINC01023,DDX11-AS1,LINC01063,GPR124,DCUN1D1,ADCK3,RP1-39G22.7,C17orf100
4557,SYCP3,RP11-97C16.1,PIAS1,TRIM60,SCRN3,PTGER4,MTMR8,CXCR1
4558,TFDP1,MAPRE3,FBXO46,RPL19,CAMK2D,MAPK9,CKAP4,CARNS1
4559,TTLL12,LSR,VAT1,SCIN,PHF11,ZNF846,RP11-182L21.6,IFT122
4560,ARF1,BPNT1,PFKM,TTN,RP4-813F11.4,LAGE3,RBM28,RIN2
4561,CD27-AS1,THAP5,CTD-2210P24.4,NUF2,AC009404.2,SLC12A4,TRIT1,RP11-84C10.2
4562,NLRX1,PTMA,ITGB7,CSTF3,SNX13,ZNF736,NR1D1,RP11-277B15.3
4563,SCMH1,ARSE,HSPBP1,GPR133,CELF1,TTPAL,RNF185,MAP7
4564,ERCC5,HESX1,NAA60-1,RBBP9,RAB38,SUSD4,ZNF420,RP11-379F4.9
4565,RP11-452L6.7,NARS2,PIGA,CREB3L2,ZNF37A,MTA2,GIN1,RP11-425D10.10
4566,RP4-594I10.3,RP11-350N15.5,DRG1,C10orf12,MTAP,CEP250,BOLA1,RP11-1151B14.4
4567,HS6ST1,STAT6,IRGQ,CLUH,IPO9,TAB3,CNOT6L,PKD2
4568,AMDHD1,UBE2T,ZNF649,MAPK7,DDX28,EVI2B,CCBL1,CTC-454I21.3
4569,CERS4,FBXW2,PTS,ACPP,IER5L,FAM35A,DIP2A,KCNQ5
4570,DHTKD1,RP11-509J21.2,FAM35A,CYTH2,C3orf18,METTL5,HSPB11,TESK2
4571,SNX16,SHARPIN,ABCA7,DNAAF1,RP11-566E18.3,SLC25A12,RPE,AC007386.2
4572,CNNM2,NAA35,ZNF740,CD19,PHLDB3,PCID2,PLEKHA5,RP3-508I15.22
4573,BRWD3,ZNF862,GNA12,EFEMP2,CECR5-AS1,TMEM38B,EXOSC10,ARMCX4
4574,ABCB1,OGFOD1,SLC25A15,LUC7L,MAP7D1,PXK,ZFHX3,SULT1A4
4575,RAP2A,CTD-2369P2.2,UBXN7-AS1,DDX28,KCNK12,C1orf50,ZNF552,RP3-395M20.9
4576,WDPCP,RP11-337C18.8,CTH,BACE2,CNTNAP2,PDS5B,CPNE1,IL17RE
4577,NUP43,SIRT2,C15orf41,HMMR,CTNNBL1,CCDC153,TMEM200B,LMBRD1
4578,GSE1,FLI1,LYRM4,BCKDK,ELAC1,CMSS1,MANBAL,ZNF558
4579,TARS2,RP4-781K5.2,FCGR1A,FUK,AP001046.5,PPP1R10,TIMP2,POU6F1
4580,SLC25A35,HCG14,IER5L,CTD-2288F12.1,IARS2,SPG21,MEST,AP001062.7
4581,ORAI3,CRTAM,ZNF358,LRRC34,PIK3C3,TFB2M,CTD-2371O3.2,ZNF619
4582,KLRF1,EIF2B2,TMEM57,CAMSAP2,ALG10,RP13-580F15.2,SF3A3,CCL20
4583,AP003774.4,RP1-43E13.2,MTURN,LENG8,SLC1A4,AC009065.1,NAE1,ZHX3
4584,ESYT2,CCDC134,DBT,RP11-265P11.2,GLOD4,PHF14,ARHGAP21,RP11-504P24.6
4585,RP11-572O17.1,TTLL11,HMGCL,ZNF185,GBA2,MAP1A,FBRSL1,SLC14A1
4586,RP11-295P9.3,VPS13A-AS1,AP000783.1,PP13439,RP11-386I14.4,ALKBH1,SF1,SENP3
4587,IFT57,RP11-1399P15.1,SKA2,CYB5RL,LRRC45,KRTCAP3,TET3,STX18-AS1
4588,ZNF511,EIF5A2,HNRNPAB,TRIM3,APPL1,ZNF408,PIK3C2B,RP1-266L20.2
4589,RAB3A,OPRL1,USF2,UBTD1,NAB2,CCNH,SMKR1,CCL2
4590,CIDEB,UBXN7-AS1,CHCHD3,ITPR2,PTPRK,NOL7,PINX1,LL22NC03-2H8.5
4591,AC147651.4,RANBP6,FBXO2,C11orf74,RP11-815J21.2,MAML3,TNFAIP8L2,LOXL1
4592,MBLAC2,RP11-677M14.7,AC004158.2,COX15,NAT14,BTBD10,SH3BGRL3,TMTC3
4593,BTN3A1,IL7,ENTPD1-AS1,KANSL1,RP11-390P2.4,BTN3A2,ATXN2L,FAM153A
4594,IKBKAP,C9orf3,CELSR1,ISOC1,CXorf65,TM6SF1,CTSZ,HARBI1
4595,SPTLC3,RP11-580I16.2,NADSYN1,MSH2,GPAT2,F8,TFG,CTD-2571L23.8
4596,ELK1,C1orf198,DDX28,STAG2,ASAP1,OGG1,TIMM17A,CDKL5
4597,RP11-87C12.2,FAIM,RP11-215G15.5,AC129492.6,FBXO2,ZNF738,RAD1,B3GALNT1
4598,NIF3L1,LMF1,LARS2,SRCAP,SF3B1,DDO,APOL6,RP11-395B7.4
4599,NSMCE2,RP5-1180C10.2,LUCAT1,H1FX-AS1,RP11-197P3.4,LIN9,MOB3A,RP11-308N19.1
4600,SLC10A7,GPATCH4,PPM1L,PAM16,NLE1,FUT7,INPP4A,CAMP
4601,FAM201A,EBP,CERKL,RDH10,CPT2,TTTY15,AC022498.1,PKIA
4602,RP11-392P7.6,CTD-3214H19.4,CYB5D1,GTF2A2,C1orf54,TMEM9,LHFPL2,RP11-479G22.8
4603,DLC1,C3orf17,C14orf182,CR2,ZDHHC20,PPP5D1,C19orf66,DIP2C
4604,MRI1,ALOX12,RP5-882C2.2,NUDT19,LRRK2,ITPKB,MIS12,ZNF670
4605,TRAFD1,FBXL4,ZNF408,KDM4A,ZNF562,PRDM2,MRPL38,EAF1-AS1
4606,C5orf66,SBF2,TOMM34,RP5-943J3.2,ZNF552,LEMD3,RP11-16N11.2,RNF43
4607,ATRN,KLHL26,FUCA2,RRM1,GOLT1B,TMCO6,DHX33,GINS3
4608,SLC35F5,SF3B5,MED13,HPS3,AC005082.12,NFIL3,SLC35E2,ZNF286A
4609,OPN3,SOCS5,CTD-2012J19.3,TANGO6,NFYC-AS1,C4orf46,ZBED6CL,LRTOMT
4610,SLC30A1,GPATCH2L,MAPRE3,AC142528.1,RP4-594I10.3,RP11-517P14.2,CLIC4,ABHD4
4611,PDDC1,RNF43,PRMT7,RP11-803B1.8,FCER2,CAMK2D,ZNF543,AC005306.3
4612,CAB39L,SUPT16H,RP11-502I4.3,SLC45A3,GPR137B,ASAP1,C22orf34,ZNF845
4613,MDM1,SNX24,PLP2,TNKS2-AS1,ACAT1,LRRC23,RP11-544A12.4,NBL1
4614,CTD-2287O16.5,ABHD17B,RRM2,ZNF641,RANBP2,MED24,TAOK1,SPIN4
4615,S1PR4,ZNF596,FA2H,PRDM15,RP5-1092A3.4,BBS12,COL9A3,POMT2
4616,CTTNBP2NL,PRPF31,RPEL1,CCDC15,CROT,ACVR1B,RP5-1180C10.2,NCAPH
4617,ATG4C,ZCCHC24,DNAJC16,TOR1B,DDX27,MTMR6,MS4A14,RP5-1180C10.2
4618,ZNF35,NCALD,BMPR1A,LIMK1,ZNF33B,RP11-467P9.1,GMEB1,GAB1
4619,PTBP2,MFGE8,PCIF1,MAPK6,WWP2,ENTPD7,RP11-96D1.11,ADC
4620,RP11-580I16.2,LINC01136,LINC00847,PITPNA-AS1,MALSU1,ZNF639,CEP350,C1orf61
4621,MIEF2,ADCY9,UBE4B,RNF26,CACNA1C-AS2,ZNF134,HMGA1P4,MUC12
4622,CYP20A1,KRT2,AKAP7,ZNF549,BHLHE40-AS1,SPDYA,FRYL,EGR2
4623,MCF2L-AS1,FAM89A,CTD-2517O10.6,PDE1B,MED13,COMMD2,MOK,C4orf36
4624,CDK2,LIPE,AC015971.2,PSPC1,NSMAF,PEX13,CARNS1,KDM8
4625,ZNF83,PPP1R3D,TULP3,MIR940,AC004951.6,CPVL,ZNF257,NT5DC2
4626,RP11-192H23.6,USP27X,AC137934.1,ZNF184,CASP2,KLHL14,SIGLEC5,HS3ST1
4627,RAPGEF2,RP11-641A6.2,TIRAP,PLEKHG2,NUP205,EYA3,RP11-686O6.2,RP11-195F19.5
4628,MTHFD2L,POLE2,ETFA,CLP1,FSIP1,FAM189B,MARVELD1,CTD-2017C7.1
4629,SNORD3A,FANCC,PTOV1-AS1,RP11-600F24.7,GRASP,WDR5,EVI5L,RP1-140A9.1
4630,PPIP5K1,TMX1,CTC-518P12.6,GLRX2,FAM122C,SRXN1,PLCG2,RP11-862L9.3
4631,UBE2S,SNAI1,PYCR2,KBTBD2,ACTA2,RP11-301O19.1,LENG9,KLHDC1
4632,SLC6A16,CTD-2228K2.5,SYNE3,TJAP1,PRSS36,UBE2J1,FAM81A,VPS13A-AS1
4633,DAB1,ABCG2,RAD1,PHLDB1,TMC4,IFI44L,PDZD11,ZNF543
4634,OCM,RBFA,CDC25A,ARG2,SLC9A3R2,PI4K2B,ZNF770,EPS8L1
4635,VWDE,RP11-572O17.1,LEMD3,C3orf38,GOLGA2,POLR1E,FHOD1,UBAC2-AS1
4636,CTD-3065J16.9,TNPO3,RP11-686O6.2,UCKL1,WHSC1,ZNF678,APOL2,TNK2-AS1
4637,RP11-563N4.1,RP11-252C15.1,ZNF142,RP3-380B8.4,RAB34,CIC,USF1,EPDR1
4638,ACSBG1,RP11-796G6.2,RP13-131K19.7,IL21R-AS1,AP4M1,UPK3A,NUP43,RP11-5C23.1
4639,UGGT2,ZNF654,EXOC4,AMACR,RP11-109G23.3,FUT4,OAZ3,AC093642.3
4640,SMU1,BUD13,CCZ1B,RP1-151F17.2,PPP1R21,ZNF335,APBA3,RP11-793H13.3
4641,YPEL1,BEX1,ARMCX3,LIME1,AC093323.3,SNN,AC040977.1,ZNF532
4642,ABHD4,TUBG2,C9orf38,ST8SIA1,AGBL5,LINC00884,ZADH2,RP5-1103G7.4
4643,TXNDC15,NUDT11,AFG3L2,ATG4A,FAM84B,NUDT17,RP5-1073O3.7,RP11-404F10.2
4644,P4HA1,FBXO42,YTHDF3-AS1,RP5-930J4.4,SPATA33,AP3M2,ZNF230,SH3D21
4645,CCDC138,CBR1,MRPS36,RELL1,BTBD9,CSF1,PATL1,CTD-2514K5.2
4646,FAM161A,RRAGD,SLC15A3,CCDC142,DHX37,PLCB3,RP11-315O6.1,NRG2
4647,XRCC6BP1,ZNF266,PPP1R12C,ZNF74,ZNF257,RPS19BP1,LRRC29,KLHL26
4648,MLTK,CSNK1E,NBEAL2,RP11-483I13.5,CSNK1G1,NPIPA1,RP11-383J24.6,YES1
4649,NKIRAS2,PPIH,RPN1,RP11-488L18.10,GTF3C3,SLC37A2,CENPH,SDS
4650,RP13-270P17.1,LINC00526,RAPGEF1,RP11-803D5.4,GNA12,XXbac-BPG181B23.7,WDR25,CTB-113I20.2
4651,FMNL2,RP11-775D22.2,KDM7A,RBM15,TECR,ZNF445,GCSAM,RP11-131L23.1
4652,FAM32A,CCDC102B,C11orf57,EXTL3,AAR2,RP11-160O5.1,PIP5K1A,ZNF404
4653,COASY,ZNF35,ARMCX6,SCAP,ZNF684,ZNF69,NCAM1,CCDC85C
4654,RP11-498P14.5,CLSTN3,SRD5A1,POMK,JAK2,PAM,RP11-432J24.2,RPS6KL1
4655,MAPK14,TACR2,ODC1,RP1-20N2.6,CCDC125,CTB-178M22.2,RRAGB,RP11-950C14.3
4656,RP11-977G19.12,DCTD,RP11-324I22.4,LINC00304,ARHGAP35,STAMBPL1,ZNF268,RP11-428J1.5
4657,USP38,THAP3,MYL9,CTC-228N24.3,OPA1,NDUFB7,AHCTF1,HHAT
4658,POLG,HOXA5,PGM3,AP003068.23,RFESD,RP11-553L6.5,WDR82,PWAR6
4659,GTF2H4,STK3,AARS2,PRC1,IL6ST,SERTAD1,CISH,RP11-61J19.4
4660,AC024592.12,PLEKHG5,KCTD13,FOXRED1,INPP5B,ZNF580,SEC24B-AS1,PPP1R32
4661,ZNF121,CCDC132,NDUFA7-1,RP11-849F2.8,XXcos-LUCA11.4,UACA,LRRC8A,LINC00264
4662,TATDN2,ARHGAP35,FAM69A,ANKRD55,TGIF2,SLC22A18AS,SLC35A2,RP11-338C15.3
4663,TIMELESS,FAM115A,CHD1L,WDR1,ZMYM3,METTL18,FANCL,SLC9A7
4664,MAP3K7CL,SSSCA1-AS1,AIP,UBAP1L,PRKAG2-AS1,DCXR,ACTL6A,CBLN3
4665,GRPEL2,KIAA0100,C17orf58,RP11-302B13.5,MGME1,FER,RP11-544A12.8,ZNF519
4666,OVGP1,CFLAR,SORD,SPAG5,FAM78A,ZNF440,EEF1G,RP11-252A24.3
4667,POC1A,SH3BP5,CTD-2288F12.1,KHDC1,TMTC2,SUMF2,RNGTT,SPIRE2
4668,FAHD2A,EDEM1,DEDD2,RP5-1057J7.6,PPHLN1,SIPA1L2,TLK1,CD274
4669,MCF2L,BCL2L1,CACYBP,KRT1,ANKS6,CTD-2659N19.9,TUT1,TRIM34
4670,LRP5,KMT2D,RP11-265N6.1,PLCH2,FAM135A,ALYREF,ASB7,AC131056.3
4671,PCOLCE,ZNF354C,ANG,ZNF396,DMPK,KIAA1432,ZNF707,CCR4
4672,NHSL2,PRMT10,SNX8,BTN2A2,THAP7-AS1,RAVER1,ABHD6,AC005253.2
4673,NCEH1,HS2ST1,SLMO2,ENTPD4,POLR2M,TIRAP,AC093157.1,WWC2
4674,HYKK,SPATA21,CTB-129P6.4,POLRMT,TIMM17A,CCDC92,C20orf96,SLC30A4
4675,KLHL23,SPATA6,UXT,NME7,CD200,PTCD2,TEF,HECA
4676,CD8B,STK24,MAP3K11,HARBI1,NEK9,LRRC40,HSDL2,AC000003.2
4677,RENBP,ZNF148,FMO5,WDR47,C1orf145,RAB40B,IPMK,RP5-1092A3.4
4678,DPY19L2,CD19,RP11-705O1.8,AC006994.2,AARS2,SUGP2,ZMIZ2,AC017002.1
4679,MPP5,RP11-434C1.1,FAM160B1,FBXO25,SSH3,HHAT,DDI2,ZNF674
4680,C9orf91,EHHADH,LARP1B,PTCH2,PBX3,RP11-326C3.12,FAM109B,BBS12
4681,POLN,TSPAN17,ENGASE,LFNG,PDGFRB,YARS2,SOCS1,GPR84
4682,RP1-140A9.1,NUDT18,GOLGA4,PTER,COPZ2,UTF1,CSNK1E,VANGL1
4683,ERMP1,DTWD1,PHTF2,SLC39A1,C12orf61,GLTSCR1L,LGR6,GRAMD1B
4684,RP11-1114A5.4,RP11-267N12.3,C16orf46,KIAA0513,GANC,LRSAM1,RASGRF2,RP11-267N12.3
4685,BRD1,ZNF445,LRPPRC,PRELID1,GK,ARC,NIFK-AS1,ZNF19
4686,DBF4B,ZNF784,SYNJ2,RABGEF1,DERL2,PKMYT1,PLEKHJ1,OTOA
4687,RP11-98I9.4,MTX3,TBC1D10B,RAP1GAP2,FTO,KRT72,AP1G1,EDA
4688,LAMA5,HOXA10,PPAT,RP1-111C20.4,PHIP,TEX22,AIFM3,NPM2
4689,ELP6,TSC2,CD1B,GALNT1,HINT2,FYCO1,SUV39H2,PLCL1
4690,CD274,CLYBL,ADORA2B,MEGF6,CRB1,HIST1H1E,AGBL3,TIGD6
4691,C3,ZNF3,PRPSAP1,CTB-58E17.1,GTF2H5,LOXL3,RP11-297N6.4,FAM177B
4692,POLR1A,ASB1,POU5F2,PCSK6,KDM7A,ZNF14,RP11-191L17.1,ARHGEF4
4693,CHMP4B,RP11-252A24.3,AC018755.1,PNPO,PIGN,IDNK,RP11-304L19.5,CCDC125
4694,ASB2,SEPT10,AP001610.5,FAM208A,MYLPF,BRCC3,LINC00526,AKAP5
4695,RAB11FIP5,ALG11,VSIG10L,CYP3A5,CTD-2651B20.3,MKRN1,SRSF10-1,CTD-2619J13.14
4696,RP11-15A1.7,ANKRD16,RP11-432I5.1,RP11-730K11.1,PAOX,NFU1,SUMF1,ARHGEF19
4697,ZYG11B,ZNF232,C5orf63,RIC8A,AP003068.23,NEB,MVB12B,ZNF883
4698,ADM,CALCRL,SKIL,TMEM165,RTKN,ADORA2A,ADRB2,PIWIL4
4699,RP6-99M1.2,F2RL1,RP11-477N3.1,RP11-588G21.2,RP11-309M23.1,ERO1L,RP11-158I9.5,LRRC48
4700,RP11-566E18.3,ZNF778,SUOX,VIM-AS1,UBBP4,TMPO-AS1,TUBGCP6,TLR3
4701,AKR1A1,HOXB-AS1,BRD1,C12orf60,SLC4A7,CPAMD8,DYNLL1,CELA1
4702,C2CD4D,PMP22,PPARA,IQCG,SEL1L,TRAM2,WDR86,ZNF69
4703,GTF2IRD2,CPSF1,CCDC151,FAM175A,LNX2,UBE3A,RP13-270P17.3,MEX3B
4704,RP11-332H14.2,RMDN3,CHAF1B,MYCBP,GOT1,ABI2,CEP89,RP5-935K16.1
4705,ZNF790,MFSD3,UQCRC1,HSF2BP,LETM1,SMAD5,ABHD13,BAALC
4706,PTK7,RP11-156K13.3,YPEL1,BANF1,LINC01146,MRPS27,RP11-517P14.2,ZNF329
4707,C5orf63,AATK,C19orf73,B3GAT3,FXR1,C12orf10,TRIM66,AMY2B
4708,EP400NL,CKAP2L,PARG,STX1A,SMARCD3,C14orf79,GZF1,KIAA1211L
4709,SMC4,PBX4,RP11-259K5.2,MED23,RP11-146F11.1,SLC4A8,TCF20,DLL1
4710,CNKSR2,TRAPPC2,IRF2BPL,CCDC3,THBS3,ZNF644,UBE2Z,ZNF470
4711,RP1-234P15.4,XPOT,TULP4,MKI67,TMED5,TTLL11,NPRL3,RP11-135A24.4
4712,NBPF14,RBM19,TMEM41B,PRKAR2A-AS1,U2AF1L4,JMY,POR,ADCY4
4713,KCTD7,RNF167,AC004257.3,ARHGEF18,ZNF776,LINC00893,HIST1H2AG,CCDC176
4714,RP11-498C9.15,TP53,CENPN,RP11-290F20.3,MOAP1,TMEM229B,RP13-582O9.7,CTD-2537I9.12
4715,AC018766.4,KIAA0195,USP12-AS2,ZNF174,PI4K2A,CLCF1,CPED1,ZSCAN31
4716,TNIP3,VCPKMT,SIRT7,RP11-388M20.1,RP11-875O11.1,PAPOLA,ALG9,CCDC154
4717,ACAD10,FEM1C,PANK2,EDA,OXR1,DSE,SCD,AC011558.5
4718,GPSM2,CHD1L,ENPP4,CPOX,ST7L,MTERFD3,C16orf54,ABHD16B
4719,ZNF391,TVP23C,LRRC57,AP006222.2,SLC38A7,TMEM251,PCSK1N,CCDC121
4720,TSTD3,YIPF6,LAMA5,RP11-262H14.4,PTGS2,ADAP2,AP3M2,C11orf82
4721,RILP,SLC35E2B,WBP2NL,AL136376.1,KLHL21,WWP1,PAX5,NETO2
4722,RNF138,BZRAP1,SSFA2,NTNG2,ZNF420,TMEM248,LINC00264,NAP1L2
4723,SCAF8,AD000671.6,CTD-3195I5.1,SCLT1,MEF2D,POU2F1,ZFY,CTC-428H11.2
4724,PLOD1,SEMA4B,MGME1,TLL2,ZMAT2,LRMP,MED20,RP11-359B12.2
4725,CTC-503J8.6,RP11-73O6.3,ZNF562,TARS2,COPS3,BBS9,ZNF358,ZNF785
4726,RP11-973H7.1,ZNF550,ABLIM2,CTD-3064H18.1,PLOD1,RP13-314C10.5,API5,CCDC102B
4727,TMEM234,PROK2,PCBD2,NANP,TMEM30B,RBBP5,RP3-428L16.2,FBXO46
4728,ZNF174,VSIG10L,CBX4,DGCR6L,ANGPTL6,ACSL6,UGP2,MCF2L2
4729,MARK3,TGFBR1,SYT5,GNAQ,RDX,PARN,SARNP,AC009005.2
4730,HIVEP1,RFX3,FADS3,CDK19,GBP5,FAM102B,SEPT7,TNFRSF11A
4731,NKIRAS1,DDIT3,NEU3,ZNF280D,RP11-582J16.4,NIPA1,GMDS,WDR65
4732,CPEB4,DOPEY1,C11orf58,FDX1L,C10orf88,MTFMT,INTU,DKK3
4733,TNFRSF21,MAP10,RUVBL1,HMBS,CPD,RP11-173M1.8,CCNYL1,PROC
4734,DET1,KATNA1,TRIP12,VPS33A,SKA3,IL10RB,TRIM16L,PAXIP1
